,Acinetobacter,Burkholderia,Burkholderia cepacia complex,Salmonella,Shigella,Enterobacter,Enterobacter cloacae complex,Helicobacter,Campylobacter,Enterococcus,Escherichia,Vibrio,Morganella,Citrobacter,Providencia,Clostrioides,Klebsiella,Proteus,Streptococcus,Staphylococcus,Stenotrophomonas,Stenotrophomonas maltophilia group,Haemophilus,Serratia,Giardia,Vermamoeba,Acanthamoeba,Naegleria,Acinetobacter calcoaceticus baumannii complex,Pseudomonas,Legionella,Mycobacterium,Mycobacterium avium complex
4920414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E7TLT0,,,
3279647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00048C8331,,,
5300454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0B7DH25,,,
2230563,,UPI0009768094,,,,,,,,,UPI0011DCE64F,UPI0011246E45,,,,,,,,,,,,,,,,,,A0A5E6Q8Q2,,,
3346031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00069B3A42,,,
1917667,,UPI00075B0DDC,,,,,,,,,UPI000CF5F613,UPI000C82840A,,,,,,,,,,,,,,,,,,UPI000F58AB21,,,
5189318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E7UFW1,,,
985943,UPI0005C46AE0,A0A498S2R2,UPI00075303C6,,,UPI0007E8B9F9,,UPI0013D82A6A,,,UPI000459DCB5,UPI00039B8B71,,,,,UPI001090ADE7,,UPI0013662548,UPI0012D3152A,,,,,,,,,,UPI000F019267,,A0A1A3SJH9,
5400064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1H1TPV1,,,
4269129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0005FB7918,,,
3300695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0004144420,,,
1963297,,UPI00075F2E83,,,,,,,,,UPI000BE1D9D9,UPI000C84DB25,,,,,,,,,,,,,,,,,,UPI000F0222EC,,,
6161914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0011A21CD8,,,
6746753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00071B2F9C,,,
3851896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J3G2A1,,,
6437919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0006424DB7,,,
6095852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0006420217,,,
4836294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A291A9I7,,,
2824299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1B4X189,,,
6193024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000A1FC518,,,
6341374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000A1EC6DD,,,
6551868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009617A3F,,,
3768907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3M4EWU7,,,
2090671,,UPI00075CBCAE,,,,,,,,,UPI000BDF4E9C,UPI00115AB15C,,,,,,,,,,,,,,,,,,UPI000D259BE0,,,
6485828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000802EF79,,,
1107364,A0A241W3E6,UPI00144790CA,UPI00075A9519,,,,,A0A2T6VG20,,,A0A2Y0YUU0,UPI0006B29AA1,,,,,UPI000C7F4514,,UPI0014462D6E,UPI000DA91575,,,,,,,,,,A0A6A9HY13,,UPI0013CF54B3,
1662846,,UPI0010F81EC2,,,,,,,,,UPI000BE5974E,UPI000E0C1B4B,,,,,,,UPI000766826F,,,,,,,,,,,UPI000FEEF2BD,,UPI0005E798F6,
494609,R9AYR3,UPI00128C6554,UPI0012FAD7A2,UPI0003539E9F,,UPI0005EC810A,UPI000BA8AA86,UPI0003F6DF98,UPI000CD89374,UPI0012470A44,UPI0011E5B6F4,UPI0012AE4EF5,,,,,UPI0012AB80D2,,A0A139NFV1,UPI00076B088A,UPI000D4D76E1,,,UPI000744E8E0,,,,,UPI0009A65456,A0A0F0DTJ0,,A0A2S8NA86,
4628802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0Q8ART6,,,
1767982,,UPI0009BE9E63,,,,,,,,,UPI0010CAF739,UPI000C7AB8CC,,,,,,,UPI0005E97B21,,,,,,,,,,,UPI000FF4F390,,UPI0008AA187F,
3920186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A059L6T5,,,
6551079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000935B654,,,
4227219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0013CFAA54,,,
600620,N8XKR5,A0A118LCP9,B1K0T9,UPI00061C51DC,,A0A2I7CC53,UPI000751A8CB,A0A2A6XUN9,UPI000CD8EE51,UPI001368BDE6,UPI000DA50BB4,A0A349FER5,,,,,UPI0003BE365B,,UPI0002F41807,UPI00091FCFC9,UPI000A4B0A68,,,,,,,,,A0A0P7KYA3,,A0A0T1W2Z7,
258570,A0A2T1J3F2,A0A653XM23,A0A1J9NX65,A0A3U1PDT7,,UPI0004DB47AB,A0A143HVB0,UPI0012AC828B,A0A5L4NPM6,A0A0S3KEI2,UPI000BB80628,UPI000E0A0A9E,,A0A4P7IZA0,,,A0A378BV71,,A0A1P8VS32,UPI00136D9178,UPI0013DD05A8,A0A6B8IV78,,A0A1B3FAK1,,,,,UPI0003DF0B90,A0A084CB36,A0A378J187,A0A1Q4HK42,
5353555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A246FDP0,,,
3563224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J3H9L2,,,
1852556,,UPI00075377C2,,,,,,,,,UPI0010AD30E6,UPI00111FC0F5,,,,,,,,,,,,,,,,,,UPI000F497623,,UPI000655A257,
4509723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0X1T105,,,
6494700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0008128B45,,,
1871718,,UPI00075615CA,,,,,,,,,UPI000D0B8AB5,UPI0011229A13,,,,,,,,,,,,,,,,,,UPI000F52F710,,UPI000BB6F38F,
3658434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1P8F2Y9,,,
1068280,A0A241WD56,A0A084DL01,UPI000755C6F1,,,,,A0A439C3T0,,,H4LB19,UPI00046FA51A,,,,,UPI00109C066A,,UPI0005F34A41,UPI000D1E70F0,,,,,,,,,,A0A1V2JG61,,UPI0013D30637,
1328061,UPI0005E4CA2B,A4JD48,UPI0007568818,,,,,UPI00112D7995,,,UPI00062C8AD0,UPI0013A08DEA,,,,,UPI0009BA5D9D,,UPI000CF3900C,,,,,,,,,,,A0A485EDQ2,,A0A1A2YEX0,
4760379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A554P8Z7,,,
5633063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000EFDB826,,,
4924023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2K9LW60,,,
695369,UPI0004499DC2,B1Z4I9,UPI000D00E0FA,UPI001033CBCC,,UPI000BE75E06,UPI0006514514,A0A3D8W1E9,UPI00099598D5,A0A415ENK4,A0A073FJY3,A0A0F2INW0,,,,,W1EL43,,UPI00037402D2,UPI0007CA570C,,,,,,,,,,A0A2A2E1B6,,A0A1X0AR65,
4783743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3M4DJM0,,,
3275430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000484489D,,,
4708805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1H2DZ57,,,
6861690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000774718D,,,
303375,UPI00132F1CAF,UPI00128E30F9,B1FGY0,A0A3W8NTQ5,,UPI0003BF423C,UPI0013FDDA21,UPI000EB2F396,A0A695CXZ4,A0A367CDW7,UPI000E2218D1,A0A2N7D1H9,,UPI0010C9400A,,,A0A2X3ITE5,,UPI00123CCA80,A0A0M4UGK9,UPI0013DA19D0,UPI000DAA72C6,,UPI001402D854,,,,,UPI0006660F03,V4QEZ8,,V7NE05,
2103783,,UPI0007525B3B,,,,,,,,,UPI0010CB2C0F,UPI00115A5F64,,,,,,,,,,,,,,,,,,UPI0012F6D764,,,
3931944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0J6KBP1,,,
2110171,,UPI0007595461,,,,,,,,,UPI00115AE34D,UPI0011207DD4,,,,,,,,,,,,,,,,,,UPI0012401F53,,,
6617963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009A1DCEA,,,
2120724,,UPI0007588D4F,,,,,,,,,UPI001124F8A4,UPI0011581F2B,,,,,,,,,,,,,,,,,,UPI0012D89906,,,
6352453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000782EE4B,,,
1229053,UPI000DD0AF5D,UPI0005CA4323,UPI000981652E,,,,,UPI001127E1CC,,,A0A2X1MTI1,A0A2L2K106,,,,,UPI00115DBDC5,,G5JQ62,,,,,,,,,,,A0A418XMV8,,A0A1X0IG71,
4094949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0013C2AD7A,,,
4653394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1V9UI22,,,
4804349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2K4JCV0,,,
3018794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000326ACA7,,,
1503442,,UPI000D011786,UPI0006C7D38C,,,,,,,,UPI000E04ABE5,UPI00142E38BD,,,,,UPI0006699A51,,UPI0011565D2B,,,,,,,,,,,UPI001374E80B,,UPI0009EEDCAA,
2286880,,UPI0008FDC746,,,,,,,,,UPI000942F817,UPI00112387FB,,,,,,,,,,,,,,,,,,A0A438LCF1,,,
3190881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00041EC801,,,
3781823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5C5QB26,,,
6068154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00113056C3,,,
5443840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1V3MII0,,,
6410121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000721B7A4,,,
1548578,,UPI000BA63C93,UPI00075721BB,,,,,,,,UPI000CF5E1B0,A0A2N7C0E9,,,,,UPI000B3E1E39,,UPI0010A0D69F,,,,,,,,,,,UPI001357D5E6,,UPI00118468AA,
4080545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00132F2263,,,
1038757,N8TSD7,B1Z5D5,UPI000751CAE1,,,,,I9UYI3,,,UPI00069B12F8,UPI0004015D18,,,,,UPI00101BE167,,UPI0005E6D92A,UPI000DA86478,,,,,,,,,,A0A1G4SH14,,A0A1X0AWS5,
2736087,,,,,,,,,,,,UPI00067FAE6E,,,,,,,,,,,,,,,,,,A0A5R8ZHG6,,,
3479529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0N0XD62,,,
3422426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A423NJR6,,,
4854222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A419URV2,,,
3599246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5C5QMT0,,,
2528350,,UPI00071654E3,,,,,,,,,UPI000750F0C0,UPI0008418B4C,,,,,,,,,,,,,,,,,,A0A1Y0KNU1,,,
5318586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A161HA15,,,
6235578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00099A9021,,,
490501,A0A3F3GPJ2,UPI0011D18C6C,UPI0013DED5CF,UPI0001812A4C,,UPI0005F8DCC5,UPI000BCA8945,UPI000404A035,UPI000CD8FC17,UPI00111FADB8,UPI00122C56FA,UPI0012FC3418,,,,,UPI00129D6063,,A0A4V0EUR6,UPI0007CA7605,UPI000D0CA497,,,UPI000A10C641,,,,,UPI000A330B17,A0A2N8D032,,X8AI10,
5638267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000F01AAEB,,,
5833286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000CD29FE6,,,
1400971,UPI00084CA942,A0A103BKE2,UPI00075AEC78,,,,,UPI0008319E89,,,UPI0005AB0BFD,UPI0005C8434F,,,,,UPI00094A54C4,,UPI0010A1D49E,,,,,,,,,,,A0A5E7AEU2,,A0A1W9ZF05,
1080202,A0A240EFR7,A0A3N8LT72,UPI0007595148,,,,,A0A5M8WEX9,,,A0A376UCP8,UPI0006824220,,,,,UPI0010A9C685,,UPI0002310BE8,UPI000E08B54E,,,,,,,,,,A0A423DCZ0,,UPI0014368E03,
4950653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3M3XG20,,,
8428,A0A3B7M7N3,A0A365QGJ4,A0A132E5Z8,A0A379RZN7,UPI000E5D308D,A0A5R9IN96,V3PRX8,A0A3D8HUS1,M5ISF3,UPI001572A0F1,A0A3S4MAJ0,A0A657Y8D7,A0A1M7NAE2,A0A5P2MIE1,D1P1G5,A0A657JS44,A0A5E5XDG6,UPI000D839A80,A0A4V1Y9T8,UPI000267E1C9,A0A023XZN3,UPI000DA88123,A0A502KJ93,A0A4R6ECT9,E1EW03,,L8HHF0,A0A6A5BM28,A0A013T412,A0A4Y8VCM5,UPI0010563773,A0A1A2HFA4,A0A1A2TWB5
5808914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00106C93E8,,,
3049003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00035F917C,,,
2538364,,UPI00062129E5,,,,,,,,,UPI0006C6BB4D,UPI000892F19F,,,,,,,,,,,,,,,,,,A0A0B3C025,,,
1878822,,UPI0007823D10,,,,,,,,,UPI000D0860A4,UPI00111D048E,,,,,,,,,,,,,,,,,,UPI000F052C48,,,
5432352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3N7BAM7,,,
1113183,A0A1Y3CZZ7,UPI00131BA8D7,UPI0005D92742,,,,,A0A3D8J6N5,,,A0A2U9LQX1,UPI0006906BBB,,,,,UPI000C7B816F,,A0A380MHN8,UPI000D0464CB,,,,,,,,,,A0A423FFY0,,UPI0013D329E3,
1354361,UPI000A35A385,A0A5P8VLT2,UPI0007552126,,,,,UPI001119063B,,,UPI00057958B4,UPI0013EE52A7,,,,,UPI00075A15DB,,UPI000DA3F24C,,,,,,,,,,,A0A2D1TCN0,,A0A1A3N1I2,
4153909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0012FEC85F,,,
6006902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0011AA491B,,,
637738,UPI0004C33A5E,R4WFM0,A0A1R1JJ32,A0A6C6ZSM1,,UPI000E2F4528,UPI000793DB08,A0A0L0R2V1,UPI00119FA4E9,A0A242LDI2,UPI0011F2F7DB,A0A0F2HZQ8,,,,,UPI00044F9475,,UPI0002F09DA7,UPI0008A8668E,UPI0007EF2458,,,,,,,,,A0A024HE44,,A0A2V0MTZ7,
1658850,,UPI00117F7264,,,,,,,,,UPI000BE80607,A0A090T6P2,,,,,,,UPI00066D77DB,,,,,,,,,,,UPI000FD99F7A,,UPI0005E65D5E,
2931362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00053613E5,,,
2604223,,UPI000756104E,,,,,,,,,UPI000B7D9352,UPI0009AAE194,,,,,,,,,,,,,,,,,,A0A4Q9GE44,,,
6406229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00070BC7BE,,,
4047462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2C8F0L9,,,
1753696,,UPI0009B38676,,,,,,,,,UPI000F883448,UPI000D475E91,,,,,,,UPI00066C085F,,,,,,,,,,,UPI000F06C20C,,UPI0009919282,
4914682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E6XGF7,,,
6710766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0007621CFC,,,
516005,D0S2T2,A0A108C6P1,UPI0005C55A48,UPI000499D7AF,,UPI0005DC4F86,UPI000642B115,K2L7D6,UPI000CD84F53,UPI0011443983,UPI000F4F6CAD,UPI0011F24077,,,,,UPI0012B6E3FF,,A0A4U9Z6G3,UPI00073C7481,UPI000DA7CE91,,,UPI00077462AF,,,,,UPI0008288031,A0A5N7SHD6,,A0A2S9G9U3,
4911096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E7K1D2,,,
6885294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000647306A,,,
2305297,,UPI000784C165,,,,,,,,,UPI0009CDF5C4,UPI0011232985,,,,,,,,,,,,,,,,,,A0A0A8RH40,,,
107354,A0A372BSC2,A0A3P0N7X5,A0A3N8ZP39,A0A622C4U9,UPI00098C9AAC,UPI000F83DE55,UPI00129C41F9,UPI000EB4F2C9,A0A5T0SHA2,UPI0010C191E8,A0A2U9LGY3,A0A5M9NUW6,,UPI0012C6CD79,A0A3R8WBW1,UPI000BB1AB69,UPI000E2D661C,UPI000D6E64D4,A0A3R9LX29,UPI000A94EE4A,UPI0013195548,M5CLA4,UPI00062DA4F3,A0A5C6R9E8,,,,,UPI000F65F6F2,A0A177STI4,A0A364LKL8,A0A1X1XCT5,UPI0005351675
181498,A0A0A8TVQ2,A0A3P0P252,UPI000F60305A,A0A3X1DUN2,,UPI00123A4B75,UPI0002894A88,J0T034,UPI000F099AE7,A0A0X8PM90,UPI000DD831AD,A0A090P1G8,,A0A2L0TFM0,,,UPI000BA0E7F7,,UPI000E28EA49,UPI000E289609,UPI00021E0AF9,A0A0U5HEC9,UPI000D01DA52,UPI000467851D,,,,,D0S2B7,A0A1X0ZSH2,UPI00080D9E2E,A0A554U5Q1,UPI0007FDC215
6669110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000864CCEC,,,
826687,K9B8H9,UPI0003FB96C0,UPI0009B33386,UPI0009AA292F,,UPI0007351FF7,,A0A438V9W2,UPI00076F9623,,UPI0001F76270,UPI00051D7B20,,,,,A0A2J4ZWH7,,A0A4U9YSA5,UPI000CD0C346,,,,,,,,,,UPI000F01930C,,A0A1A2AX43,
3645819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A427FSI8,,,
3569280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0A1YGW3,,,
6253818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009E2429A,,,
2203917,,UPI000841AA4F,,,,,,,,,UPI00109E24B4,UPI00111DD1D3,,,,,,,,,,,,,,,,,,UPI0012399061,,,
1739827,,UPI00097706F0,,,,,,,,,UPI00103630BB,UPI000BA9843D,,,,,,,UPI0007793B78,,,,,,,,,,,UPI000F03A11D,,UPI0009BCD622,
4363070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0002CAC46C,,,
5656805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0010A5DE83,,,
1103283,D4XL38,UPI00144772D0,UPI0007538377,,,,,A0A496FPT1,,,A0A3W2SEN5,UPI0006E2C366,,,,,UPI000C7B5A5C,,UPI0013F687FD,UPI000DA8F4FB,,,,,,,,,,A0A659BVR7,,UPI0012E91455,
148506,UPI000E2A5F27,UPI000B7A00EA,UPI000F568DEF,A0A5W7DZ48,,UPI00128CE6ED,A0A0A3YNJ5,UPI000EAFABFB,A0A5L8Q275,UPI000F50BB3F,A0A2X7PS91,A7N4P8,,UPI000330964F,,UPI0009394759,UPI000E2B9F49,UPI0007A62775,A0A1F0BB53,UPI000CD2E4A2,A0A4V1A814,UPI0013FE05AF,A0A377HYS2,A0A1Q4P2X4,,,,,A0A4R1XEK2,A0A2R7SJ07,UPI00059108D2,A0A4R5WQ34,UPI0009D6CC34
3723270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2N8AAP6,,,
4111877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0013D9EFE0,,,
3775388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A423G4D7,,,
6538191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00087232F0,,,
700237,UPI000445C95B,A0A2U3I7T3,UPI000CFE53E3,UPI0010843EC2,,UPI000BA849F0,UPI0005EF9F10,A0A1A9HBA4,UPI00094CD9E4,A0A2W3YXV4,A0A659KU00,A0A3E1IBY0,,,,,UPI00143CED3E,,UPI00040A672A,UPI0007CA4E92,,,,,,,,,,A0A5B0ERW0,,A0A1A3PQM5,
75219,N9QK10,A0A3N8ABN8,UPI000CFF6CC1,A0A5H7EAK9,UPI000DA5470E,UPI0012A9EAE2,UPI000FFEC4BF,A0A2A6VEN8,A0A691B0Q1,UPI000B2A1154,A0A660GW57,A0A1Y6IXN6,UPI0006C34E68,UPI001369DA17,UPI0012B67CB2,UPI0005E72512,UPI000E2D9F6E,UPI00137886A5,A0A139PYS0,UPI0004487C61,A0A2L0SP53,UPI000403FEFF,O50342,UPI000F7F71F8,,,,,A0A077KAS4,A5VY09,A0A078KRN4,A0A1X0G0P5,A0A1A2S7K6
6180825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000B3D4BF5,,,
968509,UPI001423C63F,A0A3N8CG27,UPI00075EE611,,,UPI00079B3256,,UPI001315263B,,,UPI0003BE65D3,UPI0003A45C03,,,,,UPI000E2E20FF,,UPI0013F682D2,UPI00112F14C5,,,,,,,,,,UPI000F5618A4,,A0A5B1BKN6,
4860727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I4MXQ3,,,
5924649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000C28A02E,,,
3348543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00069D6C63,,,
1146936,A0A178G355,UPI0014208DB4,UPI0007524AA2,,,,,UPI000CF1531C,,,A0A3Z8M4S5,U3AYT3,,,,,UPI000C7EC9E9,,A0A2T0GBY3,A0A380HKP2,,,,,,,,,,A0A1E4V791,,UPI0005E765A9,
2858194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0W0MIC4,,,
1976493,,UPI0007537B68,,,,,,,,,UPI000BE5BB35,UPI000C8280DE,,,,,,,,,,,,,,,,,,UPI000F79B117,,,
6680868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0008636ADE,,,
2771817,,,,,,,,,,,,UPI000B48E509,,,,,,,,,,,,,,,,,,A0A2T5PHY3,,,
6246717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009397BE3,,,
5844145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000CD14204,,,
751016,UPI00046969B7,UPI00050E9DB8,UPI000CFE9674,UPI00111C805F,,UPI000903C950,UPI000B49BF4C,A0A438PYY4,UPI000818BF37,A0A4P5P8R0,UPI00050B1191,UPI0004926179,,,,,UPI0013D894B8,,UPI0004168A2F,UPI00059609BA,,,,,,,,,,UPI000EFA39C5,,UPI0002DCC0FA,
3149875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000367DC21,,,
3440897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A423NPI6,,,
2242838,,UPI000977A4D0,,,,,,,,,UPI0011F14129,UPI001120D959,,,,,,,,,,,,,,,,,,A0A031MDP4,,,
6575383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009AD4451,,,
2450804,,UPI00075C146C,,,,,,,,,UPI0008FFDD1A,UPI0009B09F38,,,,,,,,,,,,,,,,,,A0A2A4AR65,,,
94690,N9TD04,A0A1V2XP85,A2W6J2,A0A5M0J3V8,UPI000BAFED8E,UPI00100EB7E9,UPI0010122EF8,UPI000EAE8C39,A0A691X5H5,UPI000FFE4C5D,A0A446D250,A0A109DB80,,UPI000F6D1B24,UPI0014055488,UPI000F60CAFA,UPI000DE69204,A0A0G4QGX4,A0A1X1G2K6,UPI000B9A91E6,A0A0S1AWQ3,UPI00066B1809,UPI00025E2911,UPI00124A7DA8,,,,,UPI001230B59E,A0A379KUU0,A0A2H9SHG2,A0A5N0IK17,A0A329KIL9
2668744,,Q0BB90,,,,,,,,,UPI000BDF2AD7,UPI0007A63857,,,,,,,,,,,,,,,,,,A0A2N8SSI6,,,
5442514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A266LR68,,,
1142307,A0A240E4G8,UPI0012D908E3,UPI00075B9AE9,,,,,UPI000CF0455D,,,A0A376L8Z1,A0A2A2MK45,,,,,UPI000B95ACF5,,C5WFS7,UPI001455D81F,,,,,,,,,,A0A1Q8EV70,,UPI0005600B78,
6099073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00066BD25C,,,
6564888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009240DA3,,,
3366234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0006472A37,,,
6759303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00069E18BA,,,
6134579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0011A12C77,,,
1378335,UPI0009C97434,A0A365QUU9,UPI000758ED2A,,,,,UPI00076584ED,,,UPI0002A35125,UPI0013776ECC,,,,,UPI0007CD396A,,UPI000EF7E94D,,,,,,,,,,,A0A6B8NCQ1,,A0A1A3MX37,
5163158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1G5VQT6,,,
5330702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0A7JIU7,,,
598603,N8QG01,A0A104CSW9,A0A1X1PG26,UPI0005FCE66C,,A0A0X4ET64,UPI000735C2CA,A0A438P9B8,UPI000CD8C0DE,UPI00137B5678,UPI000DA497F5,A0A0Q2R257,,,,,UPI00027CD88F,,UPI0002BEE3C4,UPI00085CD8FB,UPI0011A6260B,,,,,,,,,A0A5B0EY88,,A0A3E2N073,
4572874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1T1HSG0,,,
1883399,,UPI0007596325,,,,,,,,,UPI000BE2FF23,UPI001121356E,,,,,,,,,,,,,,,,,,UPI0010133E42,,,
1817148,,UPI00075EFF06,,,,,,,,,UPI0010CC3ED6,UPI00104D1383,,,,,,,UPI000A012E8D,,,,,,,,,,,UPI000F018107,,UPI000710436F,
5994214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0011B6BD80,,,
878503,A0A330EZU4,UPI0005C47983,UPI00075DC3CE,UPI0008FEDAF2,,UPI00077BDEE0,,A0A2T6QLK6,,,UPI00039024B6,UPI0002E47CEF,,,,,UPI000CFBF016,,S5RI92,UPI000D1A707D,,,,,,,,,,UPI000BA4E249,,A0A4R6I5A1,
5965555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000BB57208,,,
5599060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001068C955,,,
524930,N8XPY1,A0A1R3VTP7,A0A2A4FHY8,A0A659R167,,UPI001419DA2D,UPI0011D1C373,A0A438QE87,UPI000CD889C3,UPI00115E4177,UPI001029B8C8,UPI0011D33B5A,,,,,UPI00124C83C0,,A0A0F2CLP7,UPI00073482C0,UPI00104AA803,,,UPI00093687E3,,,,,UPI00083FBA6A,A0A1Y3L479,,X8AFW1,
3710052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0U4HHT1,,,
4213506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00135A35BE,,,
1140735,A0A4R1MC93,UPI0012DBE41C,UPI00075A0A00,,,,,UPI000CF1C09E,,,A0A5F0NWX7,A0A1A6J4A2,,,,,UPI000B9A7881,,A0A3R9HKB1,UPI00156065E4,,,,,,,,,,A0A423DAQ5,,UPI0005DE11F3,
