,Aeromonas,Campylobacter,Clostridioides,Citrobacter,Enterobacter,Enterococcus,Escherichia,Helicobacter,Klebsiella,Listeria,Morganella,Providencia,Salmonella,Shigella,Vibrio,Acinetobacter,Burkholderia,Haemophilus,Legionella,Proteus,Pseudomonas,Serratia,Staphylococcus,Stenotrophomonas,Streptococcus,Acanthamoeba,Naegleria,Giardia,Vermamoeba,M+avium+complex,B+cepacia+complex,S+maltophilia+group,E+cloacae+complex,A+caloaceticus+baumanii+complex,Leptospira,Mycobacterium,Mycolicibacterium,Mycolicibacter,Mycolicibacillus,Mycobacteroides
1481933,,,,,,,A0A7B1Q4W4,A0A496G4X0,UPI0005049FF3,,,,UPI000BA963D8,,UPI0013A086A8,A0A385N4P0,UPI000755BE3C,,,,UPI000F040BD6,,,,A0A5A7ZDL9,,,,,,UPI0005664842,,,,,UPI000994247A,,,,
769366,,UPI00094CEFA5,,,A0A6M1FUX2,UPI000CFCCC31,UPI0010AD6848,UPI000C31935D,UPI000E2A93FF,,,,A0A5H5R1D1,,A0A0B8QS95,A0A334NIU4,UPI001640FD7F,,,,UPI00104D00E7,,UPI00024E4266,UPI000D1B7259,UPI00073BE199,,,,,,UPI000F5A4734,,UPI00090FF159,,,UPI000C79ED9E,A0A378RDQ4,,,
5098316,,,,,,,,,,,,,,,,,,,,,UPI00070FDDAA,,,,,,,,,,,,,,,,,,,
3356325,,,,,,,V6FUH7,,,,,,,,,,UPI000CFE35F0,,,,F8H9Y6,,,,,,,,,,,,,,,,,,,
3619147,,,,,,,,,,,,,,,,,A0A103BMF5,,,,A0A348SFI0,,,,,,,,,,,,,,,,,,,
3726606,,,,,,,,,,,,,,,,,,,,,A0A6I6LV12,,,,,,,,,,,,,,,,,,,
991860,,A0A2P8R1H7,,,UPI0006430A71,,UPI0012A92652,A0A377Q0R8,A5GZR2,,,,A0A3V8HN12,,UPI0011D64577,UPI00125DB938,UPI00158B677E,,,,UPI000E3C5A2A,,UPI00069E14A9,,A0A1Q8EA79,,,,,,UPI00075E684A,,,,,A0A1B9CUM3,,,,
208416,UPI001116F2F4,UPI000F7FADD4,,UPI000EF22BFB,A0A0A3YNB7,R2QUE3,UPI00122C8373,UPI0013E3AAE8,UPI0015F3468C,UPI0009805011,,,A0A5I2KAW5,,UPI00165E76DB,A0A0M3BX17,A0A088U4J9,UPI000CFEE7B0,A0A0W0UZF9,,UPI00035517F0,UPI000F7E007A,UPI0010ABAB22,A0A1D8YCJ5,UPI001561E289,,,,,A0A1A0VK64,A0A6H9T3K8,A0A0L8A9N3,UPI000E2E7AF7,A0A446ZNI8,UPI001082A646,A0A554UD36,A0A1X0JY25,,,UPI0009A61EC8
5583842,,,,,,,,,,,,,,,,,,,,,UPI0007D082FA,,,,,,,,,,,,,,,,,,,
1968622,,,,,,,UPI0002CA0F32,,,,,,,,UPI0000EF8E0A,A0A0B0KJ81,UPI0005C90A35,,,,A0A2G0YT21,,,,UPI000CF52B20,,,,,,UPI000D004B9C,,,,,A0A0U0QZ18,,,,
4699554,,,,,,,,,,,,,,,,,,,,,A0A6I4SEM7,,,,,,,,,,,,,,,,,,,
5218852,,,,,,,,,,,,,,,,,,,,,UPI0003BB3AC2,,,,,,,,,,,,,,,,,,,
2109924,,,,,,,A0A5F1VB81,,,,,,,,A0A2I3CKY2,,A0A6J5DNS7,,,,A0A6B8NGC4,,,,D4FQL4,,,,,,A0A1Y1BG45,,,,,,,,,
1772307,,,,,,,UPI0003EF03F1,,UPI000D74ACD6,,,,,,UPI0004038BBE,UPI000CCF1AF5,UPI0005727C6B,,,,A0A2E6JXE9,,,,UPI0005CF693C,,,,,,UPI000759FC27,,,,,UPI0008A8E4D7,,,,
2117719,,,,,,,A0A6C8SQF5,,,,,,,,A0A2R8EAF0,,A0A069B4Z5,,,,J3GCF3,,,,A0A0A0DH26,,,,,,A0A6P2QYS0,,,,,,,,,
7910154,,,,,,,,,,,,,,,,,,,,,A0A0R3AGW2,,,,,,,,,,,,,,,,,,,
861101,,UPI000CD8AE8E,,,UPI0009F4847A,S4DMP6,UPI0007A07576,M3R6V2,UPI0013A64B01,,,,A0A3V9JEF2,,UPI00111D4F7A,UPI0012509477,UPI00163FC2F0,,,,UPI00146A26E9,,A0A3A0VP67,,UPI001297B3F6,,,,,,UPI00075ACFF2,,UPI000BE6FAA4,,,A0A1E3SDX7,I7FWS7,,,
3885032,,,,,,,,,,,,,,,,,,,,,A0A2N8S4V0,,,,,,,,,,,,,,,,,,,
3436309,,,,,,,,,,,,,,,,,A0A1B4S880,,,,A0A1H6SQN7,,,,,,,,,,,,,,,,,,,
6967152,,,,,,,,,,,,,,,,,,,,,A0A1H2CX00,,,,,,,,,,,,,,,,,,,
2942990,,,,,,,UPI000BE5BFBF,,,,,,,,UPI000BDBA5B3,,UPI000693BADB,,,,A0A481R0J4,,,,,,,,,,,,,,,,,,,
157996,A0A4S5C7P1,A0A430V7V7,UPI000BB1E1DE,UPI0015E9CCE6,A0A6P1QFV8,A0A4U9XRQ6,A0A0A1A4Q3,UPI00165BC66A,UPI0013EF60D7,A0A462CR67,,A0A6L6FR18,UPI0007353F1A,UPI000972ED2F,A0A557P7A0,A0A4V2NIB4,A0A495YQB4,UPI000667E42F,UPI00138F3BDC,UPI000D685FFF,UPI0004718FB2,A0A6N6K1E2,A0A418IET1,UPI0015DD59FA,A0A0Z8EM94,,,,,UPI00096EFA47,A0A2Z6TFN8,UPI00131398CD,UPI0011DC8389,A0A5E9PNK0,N1W1V0,A0A1A3DJQ9,UPI00164E21D1,,,A0A4Y6IJN9
7869035,,,,,,,,,,,,,,,,,,,,,A0A0S4I308,,,,,,,,,,,,,,,,,,,
7609751,,,,,,,,,,,,,,,,,,,,,A0A387AGQ4,,,,,,,,,,,,,,,,,,,
3467045,,,,,,,,,,,,,,,,,A0A120KY33,,,,A0A246GYM5,,,,,,,,,,,,,,,,,,,
1447836,,,,,,,A0A792ILB0,A0A5B9J6X8,UPI000431B7A9,,,,UPI0009AAD141,,UPI0012FFE470,A0A1T1GWV1,UPI00075A149A,,,,UPI000F7B01C9,,A0A512QF56,,K4QA66,,,,,,A0A2A4EWM2,,,,,A0A1A0MFJ4,,,,
7436821,,,,,,,,,,,,,,,,,,,,,J2X351,,,,,,,,,,,,,,,,,,,
7789024,,,,,,,,,,,,,,,,,,,,,A0A5P1DIP1,,,,,,,,,,,,,,,,,,,
1969284,,,,,,,UPI0009468CF9,,,,,,,,UPI00021C2ED8,D0SV32,UPI0005C9A874,,,,W6VUI7,,,,UPI000CF5D8A2,,,,,,UPI000CF0147D,,,,,A0A1X0Y8Q9,,,,
3119649,,,,,,,UPI000BE398BA,,,,,,,,A0A1B1E8N5,,UPI00075E8991,,,,A0A2K4FQ77,,,,,,,,,,,,,,,,,,,
8261894,,,,,,,,,,,,,,,,,,,,,A0A0P9PPD8,,,,,,,,,,,,,,,,,,,
4730652,,,,,,,,,,,,,,,,,,,,,UPI000485ECEE,,,,,,,,,,,,,,,,,,,
2711252,,,,,,,UPI0007A58682,,,,,,,,UPI00080ECE5C,,A0A104BV64,,,,A0A239F4Z5,,,,,,,,,,,,,,,,,,,
6360994,,,,,,,,,,,,,,,,,,,,,UPI0011A604DC,,,,,,,,,,,,,,,,,,,
3595506,,,,,,,,,,,,,,,,,A0A132EVA9,,,,A0A5E7UX40,,,,,,,,,,,,,,,,,,,
239564,UPI000F52415F,UPI00122CECA3,,UPI000EF1F707,UPI000F8172EF,UPI00115B520F,UPI00159ED1D3,UPI001431889B,UPI0015F4678A,UPI000874D478,,,A0A735P052,,UPI0016812D72,UPI00124C700B,A0A5P2JWU1,A0A377I084,UPI0009B0C9AB,,UPI0009A294AE,UPI00101F3C91,UPI0011CABA4E,UPI0010704E2B,UPI0015678246,,,,,A0A1A2T9Q4,A0A6L3NFJ6,A0A1I6KZT0,UPI0007B3F30F,A0A3S0EUG2,UPI0006ACC53E,A0A1X1RMY9,A0A329LTE1,,,UPI0005E16E94
3423690,,,,,,,,,,,,,,,,,A0A6P2ZPL1,,,,A0A554TCW1,,,,,,,,,,,,,,,,,,,
5180317,,,,,,,,,,,,,,,,,,,,,UPI00071BD910,,,,,,,,,,,,,,,,,,,
4934997,,,,,,,,,,,,,,,,,,,,,UPI00071BBD1E,,,,,,,,,,,,,,,,,,,
1215504,,,,,A0A6N7MJJ6,,A0A6M6TMU5,UPI000C30EDF4,UPI000515B35E,,,,A0A6C8GF44,,UPI00056EA22E,A0A0C4Y2G9,C4AUC0,,,,UPI000F054BCE,,UPI000BBCBD44,,UPI0002731D78,,,,,,UPI0007564D2C,,,,,A0A1A3I8U3,,,,
7220638,,,,,,,,,,,,,,,,,,,,,A0A0A7PRP1,,,,,,,,,,,,,,,,,,,
754578,A0A433GGG4,UPI00092ED5B3,,,UPI000473FD3F,UPI000CF03217,UPI000FA7E42A,UPI0012B2DA21,UPI000E3BE2D6,,,,A0A5T9LGM6,,A0A0B8NWA1,A0A385C501,UPI0016409ECE,,,,UPI0010F9F282,,UPI0001B3AADB,UPI000D540CCC,B6ZCC4,,,,,,UPI000F59F41E,,UPI0005EEADCF,A0A158LUT0,,UPI00125F4F75,K0VRL2,,,
252569,UPI0011172DC5,UPI0011A77771,,A0A212I455,UPI001231A538,UPI00100FEC76,UPI001558F44B,UPI00165A872F,UPI0015E7233D,UPI00086EC029,,,A9MMV0,,UPI00157AFC7F,UPI00125D5BB0,A0A228EL92,A0A5C6GV98,UPI000730A6BF,,UPI000A1FC71B,UPI000E1D711C,UPI00119EFA14,UPI0007B22C5A,UPI0015EBD4B5,,,,,,UPI00158D64E2,A0A3Q8FN21,UPI00075C65F8,UPI001058127E,Q9APH4,A0A100I4C3,A0A1X0HF16,,,UPI0008AA26DB
4588977,,,,,,,,,,,,,,,,,,,,,J8UU06,,,,,,,,,,,,,,,,,,,
2232972,,,,,,,A0A6N6XUE7,,,,,,,,A0A2N7ICC4,,A0A2A4F7J0,,,,A0A2N1IKA6,,,,,,,,,,,,,,,,,,,
8007102,,,,,,,,,,,,,,,,,,,,,A0A5E7ISX8,,,,,,,,,,,,,,,,,,,
8036223,,,,,,,,,,,,,,,,,,,,,A0A5E6UNG4,,,,,,,,,,,,,,,,,,,
1842117,,,,,,,UPI0002CBBBB2,,UPI000DE743A9,,,,,,UPI0002FB6FD5,UPI000EF2DB11,UPI000756DBD2,,,,A0A0T6VQW1,,,,UPI00077992A6,,,,,,UPI00075C80A3,,,,,UPI000BFEDC29,,,,
1981854,,,,,,,UPI0004E8DDDD,,,,,,,,UPI0002DC0F67,A0A371YTX6,UPI000752A5D9,,,,A0A485EGV1,,,,UPI000CF38A71,,,,,,UPI000CFF2886,,,,,A0A2I7W2Z5,,,,
6781610,,,,,,,,,,,,,,,,,,,,,UPI0014728CDD,,,,,,,,,,,,,,,,,,,
3674613,,,,,,,,,,,,,,,,,,,,,A0A1I6BQZ3,,,,,,,,,,,,,,,,,,,
7365663,,,,,,,,,,,,,,,,,,,,,A0A031G494,,,,,,,,,,,,,,,,,,,
4227709,,,,,,,,,,,,,,,,,,,,,A0A1B5ETF5,,,,,,,,,,,,,,,,,,,
1924257,,,,,,,UPI0002C9A6DE,,,,,,,,UPI00046F029A,A0A062BQQ0,UPI0006C77EAB,,,,A0A2Z4ZIE3,,,,A0A4U9WW92,,,,,,UPI0009B3FED4,,,,,A0A654ZDZ0,,,,
7418661,,,,,,,,,,,,,,,,,,,,,A0A423G2Y3,,,,,,,,,,,,,,,,,,,
7871798,,,,,,,,,,,,,,,,,,,,,A0A5E6QS44,,,,,,,,,,,,,,,,,,,
3059831,,,,,,,UPI000BB7FD89,,,,,,,,UPI000E0A4776,,UPI000756A1CE,,,,A0A257D760,,,,,,,,,,,,,,,,,,,
7190384,,,,,,,,,,,,,,,,,,,,,A0A0A7PZ34,,,,,,,,,,,,,,,,,,,
3175601,,,,,,,UPI000C9B2DE8,,,,,,,,A0A178JD78,,UPI00075FBFD9,,,,A0A2U1BR64,,,,,,,,,,,,,,,,,,,
7483983,,,,,,,,,,,,,,,,,,,,,A0A1G8K4L1,,,,,,,,,,,,,,,,,,,
3448547,,,,,,,,,,,,,,,,,A0A6P2ZTU0,,,,A0A502J022,,,,,,,,,,,,,,,,,,,
5973009,,,,,,,,,,,,,,,,,,,,,UPI00066D3850,,,,,,,,,,,,,,,,,,,
1821875,,,,,,,UPI0002CBB7B9,,UPI000D7C5EDD,,,,,,UPI0004190CB6,UPI000DE6A341,UPI00075B3128,,,,A0A031J7L9,,,,UPI000766A81A,,,,,,UPI000757DDD0,,,,,UPI000D396B2F,,,,
1213942,,,,,A0A495KJ27,,Q846B1,UPI000CF06CEE,UPI00050BEEC6,,,,A0A6C8GG94,,UPI0005C68FF9,A0A6C0XDE4,A0A6P2TMY2,,,,UPI000F033738,,UPI000C06E8AF,,UPI0002B52E51,,,,,,UPI00071675C8,,,,,A0A1A0L9U2,,,,
6212017,,,,,,,,,,,,,,,,,,,,,UPI001266A5D5,,,,,,,,,,,,,,,,,,,
4040233,,,,,,,,,,,,,,,,,,,,,A0A0P7LPG6,,,,,,,,,,,,,,,,,,,
2404995,,,,,,,A0A193LYR0,,,,,,,,UPI000B0331CA,,UPI00053804E6,,,,A0A423M322,,,,,,,,,,,,,,,,,,,
1537306,,,,,,,A0A7B6MAN7,A0A438Y3W5,UPI0007CCAB5B,,,,UPI000DA3EFB0,,UPI00136F9B05,A0A6C0Y3E7,UPI00075EE253,,,,UPI0013659FA6,,,,A0A1F0BK88,,,,,,A0A2X2PLH5,,,,,UPI0009C8F24D,,,,
3677218,,,,,,,,,,,,,,,,,,,,,A0A6I1X1A3,,,,,,,,,,,,,,,,,,,
5102456,,,,,,,,,,,,,,,,,,,,,UPI00069DDBEE,,,,,,,,,,,,,,,,,,,
801396,,UPI000AF5FB3B,,,A0A6H3QT88,A0A200IG39,UPI000E1C7EFE,A0A438Z453,UPI000E2AB86E,,,,A0A3V0TE01,,UPI001121EB56,A0A4R0ENR7,UPI00163FC43C,,,,UPI001069DA32,,UPI0005001170,M5D342,UPI000640B55F,,,,,,UPI00075AF1DB,,UPI00075A4748,,,UPI0013930C41,A0A5S9QAE8,,,
1240746,,,,,,,A0A782GYF6,UPI000D3A053E,W1DQ83,,,,UPI000190B333,,UPI0005EE8778,A0A5N0FGK0,UPI00110E0291,,,,UPI000EFF419B,,UPI000D3AAF8E,,UPI000343A951,,,,,,UPI0007589FA4,,,,,A0A2S8KCK4,,,,
2138811,,,,,,,A0A2X3KKA3,,,,,,,,D2YF11,,A0A084D6I4,,,,A0A4R7Y173,,,,A0A139QK67,,,,,,B1Z6I6,,,,,,,,,
6363474,,,,,,,,,,,,,,,,,,,,,UPI0011B373E9,,,,,,,,,,,,,,,,,,,
4162960,,,,,,,,,,,,,,,,,,,,,A0A562QAQ9,,,,,,,,,,,,,,,,,,,
7063266,,,,,,,,,,,,,,,,,,,,,A0A0P9MVI2,,,,,,,,,,,,,,,,,,,
590523,UPI0009E53898,A0A5L8WZJ9,,,A0A2S1PK02,R3U997,UPI00117AB1EB,UPI000EB0DF04,UPI000DE70398,,,,A0A5I0AHC8,,A0A1H5SDV2,UPI0015D11AB5,UPI001446BB73,,,,UPI0010368037,UPI0009082CBA,A0A517JZ71,A0A0R0B4Z9,UPI000E72655A,,,,,,A0A106NQV1,,A0A6L3Y0Z0,UPI0009BFFBAA,M6JIG7,UPI000E3D2D4C,A0A6N4VRS1,,,
7390431,,,,,,,,,,,,,,,,,,,,,V6AHL1,,,,,,,,,,,,,,,,,,,
5704050,,,,,,,,,,,,,,,,,,,,,UPI0008777768,,,,,,,,,,,,,,,,,,,
1526121,,,,,,,A0A787WY82,A0A5M8VJ91,UPI0007B34C54,,,,UPI000DA2B575,,UPI001372DC96,A0A0A3W5T9,UPI0007572F53,,,,UPI00135EDA76,,,,A0A4V0EN03,,,,,,A0A1I0LP00,,,,,UPI00096EEEA5,,,,
4310057,,,,,,,,,,,,,,,,,,,,,A0A2K1FJD0,,,,,,,,,,,,,,,,,,,
6049048,,,,,,,,,,,,,,,,,,,,,UPI000C888978,,,,,,,,,,,,,,,,,,,
4094090,,,,,,,,,,,,,,,,,,,,,A0A5B0G009,,,,,,,,,,,,,,,,,,,
1841754,,,,,,,UPI0002CB4A47,,UPI000DE70423,,,,,,UPI0002E82960,UPI000DEF4105,UPI000756A041,,,,A0A1B5EZ08,,,,UPI00076A1805,,,,,,UPI00075C5502,,,,,UPI000C7EE389,,,,
2760347,,,,,,,UPI00098BEC19,,,,,,,,UPI0008DA71E2,,UPI0009816CA8,,,,A0A1X1ACH6,,,,,,,,,,,,,,,,,,,
1373548,,,,,,,A0A7A2WW62,A0A2A6XXD3,UPI000A39A801,,,,UPI0009AAA2AC,,UPI000C81B4D6,UPI00045015EE,UPI000F5B1934,,,,UPI000F579063,,UPI000E6819C8,,A0A075SJ30,,,,,,A0A1E3FLZ5,,,,,A0A1X1URF3,,,,
2364591,,,,,,,A0A4T3BZW5,,,,,,,,UPI0009F09997,,UPI00050F8E24,,,,A0A5E7QSU3,,,,,,,,,,,,,,,,,,,
2766361,,,,,,,UPI00098BC21F,,,,,,,,UPI000942C7DB,,UPI0009785BF5,,,,A0A3M4WAB2,,,,,,,,,,,,,,,,,,,
3199262,,,,,,,UPI000D0AD389,,,,,,,,A0A191W771,,UPI0009B50464,,,,B0KSL2,,,,,,,,,,,,,,,,,,,
3206757,,,,,,,UPI000DA54C51,,,,,,,,A0A2S7VAJ2,,UPI000976FE01,,,,A0A2R7SMD2,,,,,,,,,,,,,,,,,,,
1611716,,,,,,,A0A798SEY1,T0FBS4,UPI00093DCE0F,,,,,,A0A6M6IDJ2,UPI0009E0E72B,UPI0007573F30,,,,UPI0014099F46,,,,UPI0009916CE7,,,,,,A0A104YUQ6,,,,,UPI0005E61914,,,,
7400422,,,,,,,,,,,,,,,,,,,,,A0A1V2KCH3,,,,,,,,,,,,,,,,,,,
2993963,,,,,,,UPI000BE6AA40,,,,,,,,UPI000C861E67,,UPI000558D4CE,,,,A0A0P9JEV3,,,,,,,,,,,,,,,,,,,
5576880,,,,,,,,,,,,,,,,,,,,,UPI0007C8A7DF,,,,,,,,,,,,,,,,,,,
4311888,,,,,,,,,,,,,,,,,,,,,A0A1H1X9Z7,,,,,,,,,,,,,,,,,,,
6416065,,,,,,,,,,,,,,,,,,,,,UPI00115FB867,,,,,,,,,,,,,,,,,,,
456110,A0A6S5CJ29,A0A5T1AGS3,,UPI00064385C5,UPI00073576BF,A0A1L8QN08,UPI00112674A7,A0A4Y4T2M7,UPI000E3C97DA,,,,A0A3Z4PES2,,UPI0015F44B99,UPI0015D22128,A0A4P8INB5,,,,UPI000BA43088,UPI0003FBC1F5,UPI000E23BB28,A0A2R7QQ95,A0A0Z8CVW8,,,,,,UPI0015889810,UPI0007B229E8,A0A2T1LBQ3,UPI0003DEF94F,I0XPA6,A0A329LL37,A0A2U9PR10,,,
3272483,,,,,,,UPI000D48EB9D,,,,,,,,S7I7Z6,,UPI000AB8C2B6,,,,A0A481QPG6,,,,,,,,,,,,,,,,,,,
1077096,,,,,UPI00093ABA7E,,UPI00135D20A8,UPI00165C9D1F,A0A1C3SZE4,,,,A0A5I0PSD5,,UPI0010801E33,UPI000C200D63,A0A3G3L0Q0,,,,UPI000F57F2EB,,UPI0007D9BADE,,A0A4J1NKN0,,,,,,UPI00075B5AE5,,,,,UPI00037EF342,,,,
685626,UPI000CDBFF57,UPI000A33F327,,,A0A4Q2E9H6,UPI000667A284,UPI001075AF90,UPI000EAEC161,UPI0005DE7497,,,,A0A3U7QCG7,,A0A3S0MPR6,A0A2T5QQU9,UPI00158996B7,,,,UPI000F54B919,A0A484YW54,UPI00045383ED,UPI000788ACE0,UPI0010A18C69,,,,,,UPI000F78B49D,,UPI00063C40AB,UPI000994CAEE,,UPI00073F6B56,UPI000B352B61,,,
3881230,,,,,,,,,,,,,,,,,,,,,A0A2S4ALC6,,,,,,,,,,,,,,,,,,,
4337012,,,,,,,,,,,,,,,,,,,,,A0A267CR77,,,,,,,,,,,,,,,,,,,
6386803,,,,,,,,,,,,,,,,,,,,,UPI0011C3EC97,,,,,,,,,,,,,,,,,,,
3102911,,,,,,,UPI000BB8C8D5,,,,,,,,A0A4Q7HYE5,,UPI00075F5DB9,,,,A0A2V2SZS3,,,,,,,,,,,,,,,,,,,
4010353,,,,,,,,,,,,,,,,,,,,,A0A1H2E4V3,,,,,,,,,,,,,,,,,,,
3574051,,,,,,,,,,,,,,,,,A0A4S5DEB5,,,,A0A5E7A3Q2,,,,,,,,,,,,,,,,,,,
4037833,,,,,,,,,,,,,,,,,,,,,A0A1S8H8I7,,,,,,,,,,,,,,,,,,,
722810,A0A454GCD7,UPI0006ACEBBD,,,UPI000452020C,A0A1L8R5H4,UPI00109DC4BC,UPI0012E83713,UPI0012B6ACAC,,,,A0A754KH39,,A0A0F2HQU5,A0A2T5QZ62,UPI00158F0D3F,,,,UPI00104B34D3,,UPI00026BF789,UPI000D3F2193,UPI000768D5D2,,,,,,UPI000F5A36B6,,UPI000483A10F,UPI000CE3B15E,,UPI0005E40BCF,UPI00083353C5,,,
5439585,,,,,,,,,,,,,,,,,,,,,UPI0009B7DDA1,,,,,,,,,,,,,,,,,,,
141540,A0A433LSP3,A0A6H6I289,UPI0009800A82,UPI0015E9CF78,UPI0015E51B44,R2TA14,A0A6L8VYH8,UPI00111BA3C7,UPI001473DD9F,A0A3S4XR47,,UPI00065E4EAD,UPI00110DB781,UPI000681E7C0,A0A0H2MJY1,N9ANB0,A0A087NV88,A0A1B8QZH6,UPI0005C43034,UPI000BFCF292,UPI00038FD729,UPI0015C62BDF,A0A3A0HRF5,UPI0015FC5750,A0A0Z8KSG4,,,,,UPI00096BED20,A0A103GLT1,UPI0006AA0A54,UPI000FCB0782,UPI0015812A66,V6HXU9,A0A1A3QT81,UPI0013F4BA9A,,,UPI0004ABA748
5400360,,,,,,,,,,,,,,,,,,,,,UPI0009968C5E,,,,,,,,,,,,,,,,,,,
7606429,,,,,,,,,,,,,,,,,,,,,A0A0P9JLM3,,,,,,,,,,,,,,,,,,,
7896134,,,,,,,,,,,,,,,,,,,,,A0A379JCG2,,,,,,,,,,,,,,,,,,,
7641073,,,,,,,,,,,,,,,,,,,,,A0A1D9IJK5,,,,,,,,,,,,,,,,,,,
8014254,,,,,,,,,,,,,,,,,,,,,A0A4S4JCZ5,,,,,,,,,,,,,,,,,,,
8310271,,,,,,,,,,,,,,,,,,,,,A0A5E7GT96,,,,,,,,,,,,,,,,,,,
3616027,,,,,,,,,,,,,,,,,A0A118CLG2,,,,A0A3S9JZH0,,,,,,,,,,,,,,,,,,,
3834337,,,,,,,,,,,,,,,,,,,,,A0A6I6LKJ1,,,,,,,,,,,,,,,,,,,
4255207,,,,,,,,,,,,,,,,,,,,,S6J8L2,,,,,,,,,,,,,,,,,,,
2745624,,,,,,,UPI00084697A6,,,,,,,,UPI0009B643BB,,UPI0009C16A84,,,,A0A126S123,,,,,,,,,,,,,,,,,,,
4737640,,,,,,,,,,,,,,,,,,,,,UPI0004CF281C,,,,,,,,,,,,,,,,,,,
6164874,,,,,,,,,,,,,,,,,,,,,UPI000D68C957,,,,,,,,,,,,,,,,,,,
5172844,,,,,,,,,,,,,,,,,,,,,UPI00068E81E2,,,,,,,,,,,,,,,,,,,
6468952,,,,,,,,,,,,,,,,,,,,,UPI0012B71821,,,,,,,,,,,,,,,,,,,
689496,UPI000C0BBDD0,UPI000A32B7B2,,,A0A4Q4AC34,UPI00064304BB,UPI0010FE2285,UPI000EB55E35,UPI000432F6EA,,,,A0A5X5WGX9,,E3BEF9,A0A143IVM4,UPI00158E7380,,,,UPI001023865B,A0A6N6NH72,UPI00031EAAEE,UPI0007F94041,UPI000E52127F,,,,,,UPI000F8095EA,,UPI0006201EE7,UPI000BE2B901,,UPI0005E4963E,UPI0009F68A8B,,,
2951663,,,,,,,UPI000C1C7401,,,,,,,,UPI000C86047F,,UPI000481B24A,,,,A0A1N6Q5P3,,,,,,,,,,,,,,,,,,,
412005,A0A6S5Y195,A0A689W5X4,,A0A2I8S878,UPI0007968F4E,A0A2G0EEQ5,UPI0015D6CF54,A0A1Q2PQY0,UPI00115969CD,,,,A0A3Y7ZVC7,,UPI001593FFB2,UPI00148FCFEA,UPI00159112D9,,,,UPI000BA3F71E,A0A4P8TYU2,UPI0012D306CD,A0A2R7IYF7,A0A414JWF6,,,,,,UPI00158DC839,UPI00066EF229,UPI0013D6161F,A0A6N0XDT8,M6LAM3,A0A5C1R644,R7XRK5,,,
3550278,,,,,,,,,,,,,,,,,B1YTM6,,,,A0A162B1N2,,,,,,,,,,,,,,,,,,,
1113157,,,,,UPI000B7FB303,,UPI0013D6D844,UPI0009B3C48C,A0A377TSC9,,,,A0A755S1P1,,UPI00111E9067,UPI00125F268A,A0A291CFI0,,,,UPI000F5430D8,,UPI0007CA69A3,,A0A139M9Q9,,,,,,UPI0007598339,,,,,UPI00045950C2,,,,
2542592,,,,,,,UPI000A187FD8,,,,,,,,UPI0006E72923,,A0A3N8CDR9,,,,A0A562QJ48,,,,,,,,,,,,,,,,,,,
5335505,,,,,,,,,,,,,,,,,,,,,UPI0003B9F367,,,,,,,,,,,,,,,,,,,
4099775,,,,,,,,,,,,,,,,,,,,,A0A2K4GHM3,,,,,,,,,,,,,,,,,,,
5778649,,,,,,,,,,,,,,,,,,,,,UPI000A3A902A,,,,,,,,,,,,,,,,,,,
8260623,,,,,,,,,,,,,,,,,,,,,A0A2N8ASI9,,,,,,,,,,,,,,,,,,,
2780821,,,,,,,UPI0009861FE4,,,,,,,,UPI000B59F96A,,UPI0009B404BC,,,,Q3KK01,,,,,,,,,,,,,,,,,,,
4062347,,,,,,,,,,,,,,,,,,,,,A0A4P6G1X9,,,,,,,,,,,,,,,,,,,
2863722,,,,,,,UPI000BA3B2F6,,,,,,,,UPI000BA9C79A,,UPI000B049E31,,,,A0A0Q6Z8R0,,,,,,,,,,,,,,,,,,,
5024294,,,,,,,,,,,,,,,,,,,,,UPI00071BB048,,,,,,,,,,,,,,,,,,,
769293,,UPI00094CF18D,,,A0A5C1BZI2,UPI000DEADB35,UPI0010AD5B07,UPI000C3156F8,UPI000E2ABBC7,,,,A0A3X6XSI8,,A0A0B8NX70,A0A0B2XVP9,UPI001640D0E7,,,,UPI0010F5D34D,,UPI00024E4CEF,UPI000DBE7B9D,UPI00070DB93C,,,,,,UPI000F5A2645,,UPI0008925C93,,,UPI000CEE05A2,UPI000DAD7387,,,
125877,A0A162I5M7,A0A690K6H2,UPI0009801249,UPI001626E0A1,UPI0015E52B96,UPI0015994E17,A0A0V9LXZ6,A0A2A6U8J1,A0A2X3ELB1,Q8Y9Z8,,D4BV29,UPI000E69C71F,UPI000473E30D,A0A3A2I559,A0A0E1PQ16,A0A3N8BCW1,UPI00025E5B06,UPI000F8C31B3,UPI000667FE53,UPI0004691D68,UPI001652EE22,UPI0015FB8E42,UPI0013DC1AB7,A0A346NEH3,,,,,H8IKR6,A0A2S9NB62,UPI001107B3C6,UPI001121AC7D,UPI0015810B93,M3G3Q3,A0A1A2VLW5,UPI0015B5725C,,,UPI0003615C51
1966199,,,,,,,UPI0002CC9613,,,,,,,,UPI00029A01D0,A0A372FPQ7,UPI0007550714,,,,C3K223,,,,UPI000CF5BC4D,,,,,,UPI000C9AB2EA,,,,,A0A654U4I3,,,,
4875890,,,,,,,,,,,,,,,,,,,,,UPI00053E008A,,,,,,,,,,,,,,,,,,,
6271572,,,,,,,,,,,,,,,,,,,,,UPI00122DFE59,,,,,,,,,,,,,,,,,,,
